cost_matrix_value,overall_accuracy,overall_precision,overall_recall,overall_f1,class1_accuracy,class1_precision,class1_recall,confusion_1_2_raw,confusion_1_2_precision,confusion_1_2_recall,results_dir,timestamp
0.0,0.760000,0.780402,0.760000,0.753029,0.900000,0.803571,0.900000,7,0.125000,0.140000,results/test_resnet_local_dataset_20250610_173225,20250610_173236
0.5,0.786667,0.784448,0.786667,0.784154,0.920000,0.821429,0.920000,7,0.125000,0.140000,results/test_resnet_local_dataset_20250610_173525,20250610_173537
1.0,0.786667,0.784432,0.786667,0.782575,0.940000,0.810345,0.940000,8,0.137931,0.160000,results/test_resnet_local_dataset_20250610_173826,20250610_173838
1.5,0.766667,0.786937,0.766667,0.758822,0.900000,0.865385,0.900000,6,0.115385,0.120000,results/test_resnet_local_dataset_20250610_174129,20250610_174141
2.0,0.840000,0.841394,0.840000,0.839528,0.920000,0.901961,0.920000,4,0.078431,0.080000,results/test_resnet_local_dataset_20250610_174429,20250610_174440
2.5,0.800000,0.800562,0.800000,0.793256,0.980000,0.816667,0.980000,8,0.133333,0.160000,results/test_resnet_local_dataset_20250610_174726,20250610_174737
3.0,0.800000,0.798764,0.800000,0.797229,0.920000,0.836364,0.920000,7,0.127273,0.140000,results/test_resnet_local_dataset_20250610_175021,20250610_175032
3.5,0.800000,0.798980,0.800000,0.797832,0.920000,0.821429,0.920000,6,0.107143,0.120000,results/test_resnet_local_dataset_20250610_175318,20250610_175329
4.0,0.773333,0.772778,0.773333,0.767811,0.940000,0.783333,0.940000,10,0.166667,0.200000,results/test_resnet_local_dataset_20250610_175615,20250610_175627
4.5,0.786667,0.792253,0.786667,0.781714,0.920000,0.779661,0.920000,10,0.169492,0.200000,results/test_resnet_local_dataset_20250610_175913,20250610_175925
5.0,0.806667,0.804766,0.806667,0.803351,0.940000,0.839286,0.940000,8,0.142857,0.160000,results/test_resnet_local_dataset_20250610_180211,20250610_180223
5.5,0.820000,0.823167,0.820000,0.820503,0.880000,0.897959,0.880000,3,0.061224,0.060000,results/test_resnet_local_dataset_20250610_180509,20250610_180521
6.0,0.813333,0.814234,0.813333,0.812672,0.920000,0.901961,0.920000,3,0.058824,0.060000,results/test_resnet_local_dataset_20250610_180807,20250610_180819
6.5,0.820000,0.818761,0.820000,0.819157,0.920000,0.884615,0.920000,4,0.076923,0.080000,results/test_resnet_local_dataset_20250610_181106,20250610_181117
7.0,0.820000,0.818130,0.820000,0.818343,0.940000,0.870370,0.940000,4,0.074074,0.080000,results/test_resnet_local_dataset_20250610_181436,20250610_181448
7.5,0.786667,0.786728,0.786667,0.786649,0.900000,0.900000,0.900000,5,0.100000,0.100000,results/test_resnet_local_dataset_20250610_181735,20250610_181747
8.0,0.793333,0.792557,0.793333,0.786774,0.940000,0.824561,0.940000,10,0.175439,0.200000,results/test_resnet_local_dataset_20250610_182033,20250610_182045
8.5,0.806667,0.804520,0.806667,0.804101,0.940000,0.839286,0.940000,6,0.107143,0.120000,results/test_resnet_local_dataset_20250610_182331,20250610_182343
9.0,0.786667,0.784448,0.786667,0.784154,0.920000,0.821429,0.920000,7,0.125000,0.140000,results/test_resnet_local_dataset_20250610_182629,20250610_182641
9.5,0.806667,0.805411,0.806667,0.805658,0.900000,0.849057,0.900000,5,0.094340,0.100000,results/test_resnet_local_dataset_20250610_182926,20250610_182938
10.0,0.813333,0.812953,0.813333,0.811409,0.920000,0.836364,0.920000,7,0.127273,0.140000,results/test_resnet_local_dataset_20250610_183224,20250610_183236
